employee_id,genre,statut_marital,departement,poste,heure_supplementaires,domaine_etude,ayant_enfants,frequence_deplacement,age,revenu_mensuel,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,ratio_poste_entreprise,evolution_evaluation,satisfaction_globale,salaire_par_experience,duree_moyenne_poste,attrition_actual,dataset_type
1,F,Divorcé(e),Commercial,Senior Manager,Non,Infra & Cloud,Y,Occasionnel,47,15972,6,80,29,3,2,2,4,4,2,3,3,3,0.14,3,2,1,2,4,1,2,0.5,-1,2.5,532.4,4.142857142857143,0,train
2,M,Marié(e),Consulting,Consultant,Non,Entrepreunariat,Y,Occasionnel,22,2523,0,80,3,2,1,3,3,1,4,3,3,3,0.14,1,2,1,2,1,2,1,0.3333333333333333,0,3.25,630.75,3.0,0,train
3,M,Marié(e),Commercial,Senior Manager,Non,Marketing,Y,Occasionnel,46,17465,3,80,23,12,9,1,3,4,3,4,3,3,0.12,1,3,1,3,1,4,9,0.6923076923076923,0,2.75,727.7083333333334,5.75,0,train
4,M,Marié(e),Commercial,Représentant Commercial,Non,Transformation Digitale,Y,Occasionnel,25,2096,1,80,7,7,4,2,3,1,3,3,3,3,0.11,0,1,1,13,1,0,6,0.5,0,2.75,262.0,3.5,0,train
5,M,Divorcé(e),Consulting,Consultant,Oui,Transformation Digitale,Y,Frequent,43,5679,3,80,10,8,7,4,3,2,3,2,3,3,0.13,1,3,1,9,5,4,7,0.7777777777777778,0,3.0,516.2727272727273,2.5,0,train
6,M,Marié(e),Consulting,Assistant de Direction,Oui,Transformation Digitale,Y,Occasionnel,28,3464,5,80,5,3,2,1,1,1,4,4,2,3,0.13,0,4,1,2,4,2,2,0.5,2,2.75,577.3333333333334,0.8333333333333334,1,train
7,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,51,2723,1,80,1,1,0,3,3,1,4,2,2,3,0.11,0,0,1,1,3,0,0,0.0,0,2.75,1361.5,0.5,0,train
8,F,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Frequent,43,10820,8,80,18,8,7,3,3,3,1,3,3,3,0.11,1,1,1,27,3,0,1,0.7777777777777778,0,2.5,569.4736842105264,2.0,0,train
9,F,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,40,4639,1,80,5,5,4,4,3,2,1,3,3,3,0.15,1,2,1,14,2,1,2,0.6666666666666666,0,2.75,773.1666666666666,2.5,0,train
10,F,Marié(e),Commercial,Cadre Commercial,Oui,Marketing,Y,Occasionnel,27,5769,1,80,6,6,2,4,2,2,4,4,3,3,0.11,0,3,1,10,3,4,4,0.2857142857142857,1,3.75,824.1428571428571,3.0,0,train
11,M,Célibataire,Commercial,Représentant Commercial,Non,Infra & Cloud,Y,Occasionnel,36,3407,7,80,10,5,3,3,2,1,1,2,3,4,0.23,0,4,1,9,4,0,3,0.5,2,2.25,309.72727272727275,1.25,1,train
12,F,Divorcé(e),Consulting,Directeur Technique,Non,Infra & Cloud,Y,Occasionnel,29,16124,3,80,9,7,7,4,2,4,4,2,2,3,0.14,2,2,1,1,3,1,7,0.875,1,3.0,1612.4,2.25,0,train
